Element	actin cytoskeleton reorganization	angiogenesis	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	p38mapk cascade	platelet activation	platelet degranulation	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	thromboxan synthesis	vasoconstriction	vasodilation
m193	0,125	0,142857142857143	0,125	0,125	0,125	0,0769230769230769	0,142857142857143	0,125	0,1	0,111111111111111	0,0833333333333333	0,111111111111111	1	0,125	0,25	0,142857142857143	0	0	0,111111111111111	0	0	0,142857142857143	0,0769230769230769	0,25	0,125	0,111111111111111	0	0,0909090909090909	0	0,1	0,111111111111111	0,111111111111111
m194	0,125	0,142857142857143	0,125	0,125	0,125	0,0769230769230769	0,142857142857143	0,125	0,1	0,111111111111111	0,0833333333333333	0,111111111111111	1	0,125	0,25	0,142857142857143	0	0	0,111111111111111	0	0	0,142857142857143	0,0769230769230769	0,25	0,125	0,111111111111111	0	0,0909090909090909	0	0,1	0,111111111111111	0,111111111111111
m74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m81	0,0833333333333333	0,1	0,1	0,0909090909090909	0,0833333333333333	0,0588235294117647	0,1	0,0833333333333333	0,0769230769230769	0,0833333333333333	0,0666666666666667	0,0833333333333333	0,0833333333333333	0,0909090909090909	0,1	0,0909090909090909	0,25	0	0,0833333333333333	0	0	0,0714285714285714	0,0625	0,0714285714285714	0,0909090909090909	0,0909090909090909	0,333333333333333	0,0714285714285714	0,2	0,0769230769230769	0,0833333333333333	0,0833333333333333
m82	0,0909090909090909	0,111111111111111	0,111111111111111	0,1	0,0909090909090909	0,0625	0,111111111111111	0,0909090909090909	0,0833333333333333	0,0909090909090909	0,0714285714285714	0,0909090909090909	0,0909090909090909	0,1	0,111111111111111	0,1	0,333333333333333	0	0,0909090909090909	0	0	0,0769230769230769	0,0666666666666667	0,0769230769230769	0,1	0,1	0	0,0769230769230769	0	0,0833333333333333	0,0909090909090909	0,0909090909090909
m84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0,25	0	0	0
m83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
