Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sialidosis disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m1332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1368	0.142857142857143	0.125	0.2	0	0.166666666666667	0.166666666666667	0	0.142857142857143	0.142857142857143	0.142857142857143	0.166666666666667	0.2	0.142857142857143	0.142857142857143	0	0	0.2	0.2	0.2
m1377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1498	0.142857142857143	0.125	0.2	0	0.2	0.2	0	0.166666666666667	0.2	0.166666666666667	0.166666666666667	0.2	0.2	0.2	0	0	0.2	0.2	0.2
m1499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1514	0.125	0.111111111111111	0.142857142857143	0	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143	0.142857142857143	0.166666666666667	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m1516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1533	0.142857142857143	0.125	0.166666666666667	0	0.166666666666667	0.166666666666667	0	0.142857142857143	0.166666666666667	0.142857142857143	0.166666666666667	0.2	0.166666666666667	0.166666666666667	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m1504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
